File Name,Vertices,Faces
A0083_abnormal.obj,3676,9999
A0083_normal.obj,3664,9999
A0087_abnormal.obj,3709,10000
A0087_normal.obj,3703,10000
A0103_abnormal.obj,4564,13010
A0103_normal.obj,4547,12976
A0106_abnormal.obj,3917,10000
A0106_normal.obj,3915,9999
A0117_abnormal.obj,3835,9999
A0117_normal.obj,3835,9999
A0126_abnormal.obj,4487,13043
A0126_normal.obj,4484,13051
A0165_abnormal.obj,3431,10256
A0165_normal.obj,3406,10165
A0168_abnormal.obj,4446,13416
A0168_normal.obj,4456,13456
A0169_abnormal.obj,3534,10000
A0169_normal.obj,3546,9999
A0173_abnormal.obj,5597,16225
A0173_normal.obj,5802,17045
A0174_abnormal.obj,3816,11532
A0174_normal.obj,3945,11946
A0176_abnormal.obj,3682,11033
A0176_normal.obj,3635,10870
A0177_abnormal.obj,4237,9999
A0177_normal.obj,4213,9999
A0180_abnormal.obj,4198,10000
A0180_normal.obj,4322,10000
A0181_abnormal.obj,3432,10000
A0181_normal.obj,3404,10000
A0185_abnormal.obj,5399,16358
A0185_normal.obj,5260,15985
A0187_abnormal.obj,5752,17720
A0187_normal.obj,5819,17894
A0191_abnormal.obj,4470,13566
A0191_normal.obj,4526,13698
A0192_abnormal.obj,3950,11836
A0192_normal.obj,3951,11801
A0193_abnormal.obj,7597,22196
A0193_normal.obj,7514,21918
A0195_abnormal.obj,3537,9999
A0195_normal.obj,3537,9999
A0196_abnormal.obj,5544,17324
A0196_normal.obj,5524,17315
A0197_abnormal.obj,3975,12224
A0197_normal.obj,3845,11846
A0198_abnormal.obj,3404,9999
A0198_normal.obj,3406,10000
A0201_abnormal.obj,3973,11954
A0201_normal.obj,3931,11868
A0203_abnormal.obj,3766,10994
A0203_normal.obj,3832,11140
A0205_abnormal.obj,3803,10000
A0205_normal.obj,3802,10000
A0206_abnormal.obj,4010,11579
A0206_normal.obj,4005,11565
A0208_abnormal.obj,4058,11814
A0208_normal.obj,4048,11795
A0213_abnormal.obj,3583,9999
A0213_normal.obj,3575,9999
A0214_abnormal.obj,3427,9999
A0214_normal.obj,3427,9999
A0216_abnormal.obj,4707,14183
A0216_normal.obj,4726,14339
A0217_abnormal.obj,3580,10814
A0217_normal.obj,3537,10667
A0218_abnormal.obj,4540,9999
A0218_normal.obj,4541,10000
A0223_abnormal.obj,6081,18718
A0223_normal.obj,6053,18599
A0225_abnormal.obj,3695,10000
A0225_normal.obj,3685,9999
A0227_abnormal.obj,6162,18402
A0227_normal.obj,6183,18452
A0228_abnormal.obj,3704,10000
A0228_normal.obj,3701,10000
A0229_abnormal.obj,3469,10000
A0229_normal.obj,3533,9999
A0231_abnormal.obj,4182,12963
A0231_normal.obj,4178,12957
A0233_abnormal.obj,7687,23362
A0233_normal.obj,7644,23295
A0235_abnormal.obj,4465,12931
A0235_normal.obj,3605,9999
A0236_abnormal.obj,3540,10640
A0236_normal.obj,3785,11687
A0240_abnormal.obj,3526,9999
A0240_normal.obj,3526,10000
A0241_abnormal.obj,3906,10000
A0241_normal.obj,4151,10000
A0248_abnormal.obj,4084,12412
A0248_normal.obj,4130,12500
A0250_abnormal.obj,3809,11194
A0250_normal.obj,3716,10909
A0252_abnormal.obj,3879,10000
A0252_normal.obj,3877,9999
A0253_abnormal.obj,4106,12171
A0253_normal.obj,4137,12242
A0256_abnormal.obj,3957,11634
A0256_normal.obj,3895,11529
A0260_abnormal.obj,6266,18882
A0260_normal.obj,5298,16212
A0262_abnormal.obj,13735,45744
A0262_normal.obj,13704,45762
A0263_abnormal.obj,8378,26188
A0263_normal.obj,7932,24904
A0264_abnormal.obj,7865,23728
A0264_normal.obj,7492,23710
B0033_abnormal.obj,11445,35825
B0033_normal.obj,11365,35691
B0034_abnormal.obj,5212,15829
B0034_normal.obj,4739,14626
B0037_abnormal.obj,3772,9999
B0037_normal.obj,3770,10000
B0040_abnormal.obj,4492,13623
B0040_normal.obj,4327,13162
B0041_abnormal.obj,5414,16686
B0041_normal.obj,4946,15262
E0004_abnormal.obj,4886,9999
E0004_normal.obj,4870,9999
F001_abnormal.obj,3664,9999
F001_normal.obj,3664,9999
F002_abnormal.obj,3664,9999
F002_normal.obj,3664,9999
F004_abnormal.obj,3436,10000
F004_normal.obj,3436,10000
F005_abnormal.obj,3436,10000
F005_normal.obj,3436,10000
F006_abnormal.obj,4547,12976
F006_normal.obj,4547,12976
F009_abnormal.obj,3976,10000
F009_normal.obj,3976,10000
F010_abnormal.obj,3976,10000
F010_normal.obj,3976,10000
F011_abnormal.obj,3915,9999
F011_normal.obj,3915,9999
F012_abnormal.obj,3915,9999
F012_normal.obj,3915,9999
F014_abnormal.obj,3835,9999
F014_normal.obj,3835,9999
F015_abnormal.obj,4484,13051
F015_normal.obj,4484,13051
F016_abnormal.obj,4484,13051
F016_normal.obj,4484,13051
F017_abnormal.obj,3426,10000
F017_normal.obj,3426,10000
F018_abnormal.obj,4456,13456
F018_normal.obj,4456,13456
F020_abnormal.obj,4526,13698
F020_normal.obj,4526,13698
F021_abnormal.obj,4526,13698
F021_normal.obj,4526,13698
F022_abnormal.obj,3951,11801
F022_normal.obj,3951,11801
F023_abnormal.obj,3951,11801
F023_normal.obj,3951,11801
F024_abnormal.obj,3537,9999
F024_normal.obj,3537,9999
F025_abnormal.obj,3537,9999
F025_normal.obj,3537,9999
F026_abnormal.obj,3406,10000
F026_normal.obj,3406,10000
F027_abnormal.obj,3406,10000
F027_normal.obj,3406,10000
F028_abnormal.obj,3802,10000
F028_normal.obj,3802,10000
F029_abnormal.obj,3802,10000
F029_normal.obj,3802,10000
F030_abnormal.obj,4005,11565
F030_normal.obj,4005,11565
F031_abnormal.obj,4005,11565
F031_normal.obj,4005,11565
F032_abnormal.obj,4048,11795
F032_normal.obj,4048,11795
F034_abnormal.obj,4541,10000
F034_normal.obj,4541,10000
F036_abnormal.obj,3685,9999
F036_normal.obj,3685,9999
F037_abnormal.obj,3685,9999
F037_normal.obj,3685,9999
F038_abnormal.obj,3701,10000
F038_normal.obj,3701,10000
F040_abnormal.obj,4006,11924
F040_normal.obj,4006,11924
F041_abnormal.obj,3847,10000
F041_normal.obj,3847,10000
F042_abnormal.obj,3847,10000
F042_normal.obj,3847,10000
F043_abnormal.obj,4130,12500
F043_normal.obj,4130,12500
F045_abnormal.obj,3877,9999
F045_normal.obj,3877,9999
F046_abnormal.obj,4137,12242
F046_normal.obj,4137,12242
F047_abnormal.obj,4137,12242
F047_normal.obj,4137,12242
G0033_abnormal.obj,4510,13550
G0033_normal.obj,4405,13308
G0038_abnormal.obj,4524,13188
G0038_normal.obj,4158,12103
G0039_abnormal.obj,5566,17008
G0039_normal.obj,5505,16817
G0041_abnormal.obj,3699,10000
G0041_normal.obj,3807,10000
G0042_abnormal.obj,5926,18365
G0042_normal.obj,6153,19217
G0043_abnormal.obj,4597,13743
G0043_normal.obj,4355,13016
G0044_abnormal.obj,3939,11706
G0044_normal.obj,3932,11679
G0046_abnormal.obj,3527,10000
G0046_normal.obj,3747,9999
G0048_abnormal.obj,4062,10000
G0048_normal.obj,4169,9999
G0049_abnormal.obj,5250,15576
G0049_normal.obj,4809,14266
G0050_abnormal.obj,5424,16279
G0050_normal.obj,5410,16255
G0051_abnormal.obj,4183,12362
G0051_normal.obj,3965,11774
G0053_abnormal.obj,8143,24601
G0053_normal.obj,7650,24013
G0056_abnormal.obj,4173,12400
G0056_normal.obj,4107,12188
G0059_abnormal.obj,3872,11278
G0059_normal.obj,3609,10511
Z001_abnormal.obj,3924,10000
Z001_normal.obj,3924,10000
Z002_abnormal.obj,3436,10000
Z002_normal.obj,3436,10000
Z003_abnormal.obj,3915,9999
Z003_normal.obj,3915,9999
Z004_abnormal.obj,3835,9999
Z004_normal.obj,3835,9999
Z005_abnormal.obj,3426,10000
Z005_normal.obj,3426,10000
Z006_abnormal.obj,3546,9999
Z006_normal.obj,3546,9999
Z007_abnormal.obj,4322,10000
Z007_normal.obj,4322,10000
Z008_abnormal.obj,4322,10000
Z008_normal.obj,4322,10000
Z009_abnormal.obj,4322,10000
Z009_normal.obj,4322,10000
Z010_abnormal.obj,3404,10000
Z010_normal.obj,3404,10000
Z011_abnormal.obj,3404,10000
Z011_normal.obj,3404,10000
Z012_abnormal.obj,5653,16759
Z012_normal.obj,5653,16759
Z013_abnormal.obj,5260,15985
Z013_normal.obj,5260,15985
Z014_abnormal.obj,3406,10000
Z014_normal.obj,3406,10000
Z015_abnormal.obj,3673,9999
Z015_normal.obj,3673,9999
Z016_abnormal.obj,3752,9999
Z016_normal.obj,3752,9999
Z017_abnormal.obj,3752,9999
Z017_normal.obj,3752,9999
Z018_abnormal.obj,3832,11140
Z018_normal.obj,3832,11140
Z019_abnormal.obj,3794,11290
Z019_normal.obj,3794,11290
Z020_abnormal.obj,4048,11795
Z020_normal.obj,4048,11795
Z021_abnormal.obj,4048,11795
Z021_normal.obj,4048,11795
Z022_abnormal.obj,4726,14339
Z022_normal.obj,4726,14339
Z023_abnormal.obj,4685,14470
Z023_normal.obj,4685,14470
Z024_abnormal.obj,6053,18599
Z024_normal.obj,6053,18599
Z027_abnormal.obj,3605,9999
Z027_normal.obj,3605,9999
Z028_abnormal.obj,3605,9999
Z028_normal.obj,3605,9999
Z029_abnormal.obj,4385,13286
Z029_normal.obj,4385,13286
Z030_abnormal.obj,4544,14043
Z030_normal.obj,4544,14043
Z031_abnormal.obj,3526,10000
Z031_normal.obj,3526,10000
Z032_abnormal.obj,4151,10000
Z032_normal.obj,4151,10000
Z033_abnormal.obj,4151,10000
Z033_normal.obj,4151,10000
Z035_abnormal.obj,3877,9999
Z035_normal.obj,3877,9999
Z036_abnormal.obj,5416,16292
Z036_normal.obj,5416,16292
Z037_abnormal.obj,8430,27044
Z037_normal.obj,8430,27044
Z038_abnormal.obj,3481,10000
Z038_normal.obj,3481,10000
Z039_abnormal.obj,7932,24904
Z039_normal.obj,7932,24904
Z040_abnormal.obj,8178,26687
Z040_normal.obj,8178,26687
Z044_abnormal.obj,4837,9999
Z044_normal.obj,4837,9999
Z046_abnormal.obj,4837,9999
Z046_normal.obj,4837,9999
Z048_abnormal.obj,4837,9999
Z048_normal.obj,4837,9999
Z049_abnormal.obj,4870,9999
Z049_normal.obj,4870,9999
Z050_abnormal.obj,4870,9999
Z050_normal.obj,4870,9999
Z051_abnormal.obj,4870,9999
Z051_normal.obj,4870,9999
Z052_abnormal.obj,4870,9999
Z052_normal.obj,4870,9999
Z054_abnormal.obj,4870,9999
Z054_normal.obj,4870,9999
Z055_abnormal.obj,4870,9999
Z055_normal.obj,4870,9999
Z057_abnormal.obj,4870,9999
Z057_normal.obj,4870,9999
Z058_abnormal.obj,4870,9999
Z058_normal.obj,4870,9999
Z059_abnormal.obj,4870,9999
Z059_normal.obj,4870,9999
Z062_abnormal.obj,4818,9999
Z062_normal.obj,4818,9999
Z063_abnormal.obj,4818,9999
Z063_normal.obj,4818,9999
Z069_abnormal.obj,4818,9999
Z069_normal.obj,4818,9999
Z070_abnormal.obj,4818,9999
Z070_normal.obj,4818,9999
Z072_abnormal.obj,4012,10000
Z072_normal.obj,4012,10000
Z073_abnormal.obj,4158,12103
Z073_normal.obj,4158,12103
Z074_abnormal.obj,4158,12103
Z074_normal.obj,4158,12103
Z075_abnormal.obj,5505,16817
Z075_normal.obj,5505,16817
Z076_abnormal.obj,5505,16817
Z076_normal.obj,5505,16817
Z077_abnormal.obj,3965,11774
Z077_normal.obj,3965,11774
Z078_abnormal.obj,3965,11774
Z078_normal.obj,3965,11774
Z079_abnormal.obj,4296,12846
Z079_normal.obj,4296,12846
Z080_abnormal.obj,4500,13653
Z080_normal.obj,4500,13653
